bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",10612,0.047234399839338,0.012344515642668677,7371,-0.03488988419666932,,
"(0.1, 0.2]",7365,0.14834250555261003,0.04372029871011541,6075,-0.10462220684249462,0.03882662131179649,0.048878668959411606
"(0.2, 0.3]",5435,0.24867308572396796,0.10653173873045078,4708,-0.14214134699351716,,
"(0.3, 0.4]",4553,0.34982360667786255,0.20382165605095542,3961,-0.14600195062690713,,
"(0.4, 0.5]",4536,0.45088821419108654,0.3558201058201058,3952,-0.09506810837098073,0.33993754458297587,0.37032581854764957
"(0.5, 0.6]",4427,0.5498909972729683,0.5965665236051502,3838,0.04667552633218186,,
"(0.6, 0.7]",4336,0.6502735285786005,0.7815959409594095,3706,0.131322412380809,,
"(0.7, 0.8]",4642,0.7512563166793867,0.8722533390779836,3963,0.12099702239859689,,
"(0.8, 0.9]",5803,0.852315586342983,0.9352059279682923,4800,0.08289034162530928,0.9281461927621557,0.9419981181098647
"(0.9, 1.0]",7293,0.9521552892129708,0.9831345125462773,5079,0.030979223333306494,0.9790428398635698,0.9865498320524054
