bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",3612,0.046128674848610135,0.001937984496124031,3284,-0.0441906903524861,,
"(0.1, 0.2]",2472,0.14828758045205262,0.0093042071197411,2433,-0.13898337333231153,0.005820184346195907,0.013487398994133802
"(0.2, 0.3]",1596,0.24661510857880592,0.043859649122807015,1586,-0.2027554594559989,,
"(0.3, 0.4]",1099,0.3460517581762675,0.12738853503184713,1087,-0.21866322314442035,,
"(0.4, 0.5]",808,0.44787353008738146,0.375,807,-0.07287353008738146,0.3397639193735301,0.4094491593596653
"(0.5, 0.6]",844,0.5513380195743419,0.6954976303317536,843,0.14415961075741168,,
"(0.6, 0.7]",907,0.6521007192602439,0.8996692392502756,896,0.2475685199900317,,
"(0.7, 0.8]",1151,0.753252072958853,0.9626411815812337,1147,0.2093891086223807,,
"(0.8, 0.9]",1637,0.8520730358945403,0.9890042761148442,1622,0.1369312402203039,0.9834834421747187,0.994108412747821
"(0.9, 1.0]",2215,0.9561630990217447,0.9986455981941309,2043,0.04248249917238622,0.9968634464252877,1.0
