bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1148,0.03774841955331156,0.023519163763066203,372,-0.014229255790245358,,
"(0.1, 0.2]",381,0.14702539830846087,0.10498687664041995,276,-0.042038521668040923,0.07031030547752809,0.14463840399002495
"(0.2, 0.3]",324,0.2482181246843238,0.22530864197530864,269,-0.02290948270901516,,
"(0.3, 0.4]",235,0.352161211090291,0.2978723404255319,194,-0.054288870664759126,,
"(0.4, 0.5]",282,0.453715264450403,0.3475177304964539,232,-0.1061975339539491,0.28895069552019276,0.4109151092809629
"(0.5, 0.6]",214,0.5478323994094725,0.5233644859813084,183,-0.024467913428164123,,
"(0.6, 0.7]",296,0.6519273034854479,0.6047297297297297,246,-0.0471975737557182,,
"(0.7, 0.8]",313,0.7540843132409843,0.7763578274760383,250,0.02227351423505397,,
"(0.8, 0.9]",382,0.8538950517757904,0.8795811518324608,276,0.02568610005667038,0.841771955030883,0.9145077720207254
"(0.9, 1.0]",1306,0.9692866152276288,0.9800918836140888,354,0.01080526838646001,0.9704431355750697,0.9880088519681459
