bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1314,0.053969798132326996,0.0060882800608828,1049,-0.047881518071444196,,
"(0.1, 0.2]",1221,0.14891505981793937,0.02620802620802621,1064,-0.12270703360991317,0.0170448500967118,0.03630992977690648
"(0.2, 0.3]",1024,0.25084977452202517,0.0703125,914,-0.18053727452202517,,
"(0.3, 0.4]",998,0.3520847805657793,0.15030060120240482,871,-0.20178417936337448,,
"(0.4, 0.5]",1140,0.450142773170848,0.30964912280701756,976,-0.14049365036383044,0.28229693426042984,0.33774585476921803
"(0.5, 0.6]",1134,0.5495237197199541,0.6507936507936508,958,0.10126993107369675,,
"(0.6, 0.7]",1086,0.6486793290104247,0.8655616942909761,925,0.21688236528055138,,
"(0.7, 0.8]",1113,0.7505367425634937,0.9308176100628931,973,0.18028086749939942,,
"(0.8, 0.9]",1198,0.8516653010678613,0.9724540901502504,1014,0.1207887890823891,0.9627394776708312,0.9808161963351884
"(0.9, 1.0]",1357,0.9471441461544553,0.9955784819454679,1033,0.04843433579101264,0.9917527226952562,0.9985694614208735
