bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",2064,0.046628263591491366,0.009205426356589148,1101,-0.037422837234902216,,
"(0.1, 0.2]",1522,0.1496936997028328,0.04336399474375821,968,-0.1063297049590746,0.03322359931611221,0.05420054200542006
"(0.2, 0.3]",1250,0.24946649807168034,0.1152,871,-0.13426649807168034,,
"(0.3, 0.4]",1098,0.35013542251093366,0.2204007285974499,803,-0.12973469391348375,,
"(0.4, 0.5]",1075,0.4511194482439882,0.36093023255813955,808,-0.09018921568584864,0.33170838536882413,0.3914824186012523
"(0.5, 0.6]",1062,0.5514361504713667,0.5207156308851224,772,-0.030720519586244333,,
"(0.6, 0.7]",1125,0.651782891643548,0.7031111111111111,827,0.05132821946756316,,
"(0.7, 0.8]",1326,0.7510075383061752,0.8046757164404224,954,0.05366817813424718,,
"(0.8, 0.9]",1885,0.8544141050599379,0.9029177718832891,1280,0.04850366682335128,0.8884280029734576,0.9168903720820913
"(0.9, 1.0]",1788,0.9393260501116157,0.9776286353467561,1162,0.03830258523514041,0.9699983296213808,0.9849182960893855
