bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1032,0.05350174615195663,0.03972868217054264,441,-0.013773063981413994,,
"(0.1, 0.2]",880,0.14768231806765963,0.1215909090909091,490,-0.026091408976750538,0.10245593920385128,0.14234446658857947
"(0.2, 0.3]",579,0.24817226430682074,0.22279792746113988,422,-0.025374336845680856,,
"(0.3, 0.4]",398,0.34919506898574243,0.3241206030150754,313,-0.025074465970667037,,
"(0.4, 0.5]",365,0.4513356802446192,0.4,284,-0.05133568024461915,0.34152296054871817,0.4607405166740962
"(0.5, 0.6]",296,0.5510645252135917,0.5067567567567568,237,-0.04430776845683493,,
"(0.6, 0.7]",265,0.6514369655351467,0.6377358490566037,192,-0.013701116478542996,,
"(0.7, 0.8]",286,0.7506352346828539,0.7272727272727273,200,-0.023362507410126576,,
"(0.8, 0.9]",275,0.8497808286484837,0.8,197,-0.049780828648483655,0.7409737499256792,0.8576391978054566
"(0.9, 1.0]",230,0.9466827896663128,0.8782608695652174,131,-0.06842192010109538,0.7934153378420302,0.9392528094139014
