bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",186,0.03529799814076623,0.026881720430107527,45,-0.008416277710658702,,
"(0.1, 0.2]",27,0.13589119350286472,0.07407407407407407,24,-0.061817119428790646,0.0,0.18518518518518517
"(0.2, 0.3]",21,0.24465585348775612,0.2857142857142857,17,0.04105843222652958,,
"(0.3, 0.4]",29,0.33760233002949636,0.6551724137931034,12,0.31757008376360707,,
"(0.4, 0.5]",40,0.45623078293981456,0.525,30,0.06876921706018546,0.29411764705882354,0.7292708333333332
"(0.5, 0.6]",44,0.550427826182225,0.7272727272727273,27,0.17684490109050233,,
"(0.6, 0.7]",46,0.6369439422409152,0.7391304347826086,22,0.10218649254169343,,
"(0.7, 0.8]",30,0.7456247053082531,0.9333333333333333,19,0.18770862802508026,,
"(0.8, 0.9]",39,0.8456667816703404,0.9230769230769231,27,0.07741014140658276,0.8214285714285714,1.0
"(0.9, 1.0]",67,0.9431080512601916,0.9402985074626866,35,-0.0028095437975049764,0.8599285714285714,0.9895095693779904
