bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1234,0.0498321503819382,0.019448946515397084,1072,-0.030383203866541118,,
"(0.1, 0.2]",849,0.1469041356331137,0.06007067137809187,812,-0.08683346425502182,0.044507415340511135,0.07752053616029306
"(0.2, 0.3]",630,0.2498210453367487,0.13333333333333333,621,-0.11648771200341537,,
"(0.3, 0.4]",689,0.35203960199826806,0.25834542815674894,676,-0.09369417384151912,,
"(0.4, 0.5]",821,0.45312937589688274,0.37149817295980514,813,-0.0816312029370776,0.33937592524056254,0.40442195251594615
"(0.5, 0.6]",821,0.5470183784212134,0.5602923264311814,811,0.013273948009968062,,
"(0.6, 0.7]",596,0.6469838554655677,0.7600671140939598,590,0.11308325862839208,,
"(0.7, 0.8]",418,0.7472275203959922,0.8492822966507177,416,0.10205477625472559,,
"(0.8, 0.9]",384,0.8462162044212719,0.90625,381,0.06003379557872812,0.8756737359368939,0.9349061868261456
"(0.9, 1.0]",325,0.9529922897348136,0.9507692307692308,319,-0.002223058965582836,0.9269783136184411,0.9732162727850784
