bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",9926,0.04779856941366109,0.06417489421720733,6843,0.01637632480354624,,
"(0.1, 0.2]",6654,0.15364517583408477,0.15764953411481816,5385,0.004004358280733394,0.14827392176245083,0.1668163702912124
"(0.2, 0.3]",5582,0.25482594052311,0.24292368326764602,4671,-0.011902257255463955,,
"(0.3, 0.4]",5515,0.35670714415231186,0.34777878513145966,4716,-0.008928359020852206,,
"(0.4, 0.5]",7337,0.45967873790377534,0.42755894779882786,6156,-0.03211979010494748,0.4160309815702771,0.4394504663383904
"(0.5, 0.6]",6927,0.5507782445503104,0.5241807420239643,5958,-0.026597502526346184,,
"(0.6, 0.7]",5084,0.6539745869394178,0.6111329661683713,4289,-0.042841620771046474,,
"(0.7, 0.8]",4572,0.7573241469816273,0.6909448818897638,3730,-0.06637926509186354,,
"(0.8, 0.9]",5700,0.8577845438596491,0.7770175438596492,4135,-0.08076699999999992,0.765461956101708,0.7900062922887343
"(0.9, 1.0]",6201,0.9520320432188356,0.8929204966940816,4320,-0.05911154652475403,0.8835868562544188,0.9015192995401524
