bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",3307,0.04500973692168129,0.044753553069247054,2958,-0.0002561838524342344,,
"(0.1, 0.2]",1852,0.15056214902807774,0.1468682505399568,1801,-0.0036938984881209336,0.1303276834824056,0.1639888182187772
"(0.2, 0.3]",1304,0.2518640337423313,0.22929447852760737,1287,-0.022569555214723924,,
"(0.3, 0.4]",1369,0.3537373995617239,0.35135135135135137,1368,-0.0023860482103725267,,
"(0.4, 0.5]",1978,0.45360884732052575,0.44792719919110213,1973,-0.005681648129423622,0.4260429877671257,0.47128144184079673
"(0.5, 0.6]",2050,0.5471979024390243,0.5331707317073171,2047,-0.014027170731707228,,
"(0.6, 0.7]",1138,0.6478509666080844,0.6370826010544816,1135,-0.010768365553602832,,
"(0.7, 0.8]",729,0.7509795610425241,0.7242798353909465,724,-0.02669972565157752,,
"(0.8, 0.9]",778,0.8582286632390745,0.8483290488431876,761,-0.009899614395886935,0.8224492163762996,0.8737194564439615
"(0.9, 1.0]",1881,0.9613617756512494,0.9564061669324827,1692,-0.0049556087187666575,0.9469154654129593,0.965631741723165
