bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1290,0.043873875968992254,0.08449612403100776,487,0.040622248062015504,,
"(0.1, 0.2]",593,0.1509760539629005,0.19392917369308602,402,0.04295311973018551,0.15285259361571515,0.23542236524537408
"(0.2, 0.3]",422,0.2531270142180095,0.27488151658767773,335,0.02175450236966825,,
"(0.3, 0.4]",385,0.356821038961039,0.34025974025974026,314,-0.016561298701298743,,
"(0.4, 0.5]",508,0.4677852362204724,0.41929133858267714,334,-0.04849389763779527,0.36471760756119004,0.4765104166666666
"(0.5, 0.6]",441,0.5489931972789116,0.5873015873015873,313,0.03830839002267572,,
"(0.6, 0.7]",374,0.6579812834224599,0.6390374331550802,295,-0.01894385026737966,,
"(0.7, 0.8]",381,0.7614763779527559,0.7139107611548556,294,-0.04756561679790028,,
"(0.8, 0.9]",653,0.8505166921898928,0.7932618683001531,362,-0.05725482388973968,0.756132616245743,0.8316351059654631
"(0.9, 1.0]",1209,0.9708210090984285,0.9338296112489661,410,-0.03699139784946237,0.9168236905292071,0.9516881327019213
