bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",58,0.04786206896551724,0.017241379310344827,7,-0.030620689655172416,,
"(0.1, 0.2]",17,0.16410588235294118,0.0,8,-0.16410588235294118,0.0,0.0
"(0.2, 0.3]",24,0.24695,0.16666666666666666,6,-0.08028333333333335,,
"(0.3, 0.4]",9,0.35444444444444445,0.2222222222222222,4,-0.13222222222222224,,
"(0.4, 0.5]",16,0.4524,0.3125,7,-0.13990000000000002,0.14285714285714285,0.6666666666666666
"(0.5, 0.6]",9,0.5638444444444445,0.4444444444444444,6,-0.11940000000000006,,
"(0.6, 0.7]",11,0.6588181818181819,0.09090909090909091,5,-0.5679090909090909,,
"(0.7, 0.8]",7,0.7442857142857143,0.8571428571428571,4,0.11285714285714277,,
"(0.8, 0.9]",5,0.84336,0.6,3,-0.24336000000000002,0.0,1.0
"(0.9, 1.0]",13,0.9730769230769231,0.8461538461538461,7,-0.12692307692307692,0.6,1.0
