bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1354,0.055517799113737075,0.06646971935007386,1055,0.01095192023633678,,
"(0.1, 0.2]",1129,0.153074047829938,0.16031886625332153,985,0.007244818423383537,0.13490509280699103,0.18505097706032284
"(0.2, 0.3]",937,0.25504909284951977,0.27641408751334046,856,0.02136499466382069,,
"(0.3, 0.4]",912,0.357103399122807,0.3815789473684211,835,0.024475548245614098,,
"(0.4, 0.5]",1423,0.4621401967673928,0.45045678144764584,1234,-0.011683415319746981,0.4221157920007418,0.4771807503996444
"(0.5, 0.6]",1463,0.54973991797676,0.5406698564593302,1247,-0.00907006151742984,,
"(0.6, 0.7]",1059,0.6536022662889519,0.647780925401322,944,-0.005821340887629867,,
"(0.7, 0.8]",1120,0.7581744642857142,0.7410714285714286,990,-0.01710303571428562,,
"(0.8, 0.9]",1186,0.8570601180438449,0.8389544688026982,1014,-0.01810564924114666,0.8150703304721093,0.8620156416637043
"(0.9, 1.0]",1176,0.9519047619047619,0.9132653061224489,904,-0.03863945578231298,0.8937388979479766,0.9313659971528983
