bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",837,0.04588888888888889,0.12783751493428913,656,0.08194862604540024,,
"(0.1, 0.2]",986,0.16285395537525357,0.17647058823529413,683,0.013616632860040556,0.15147770046459608,0.20420598588800948
"(0.2, 0.3]",1403,0.2587200997861725,0.22451888809693513,955,-0.03420121168923737,,
"(0.3, 0.4]",1578,0.36186362484157164,0.3149556400506971,1097,-0.046907984790874546,,
"(0.4, 0.5]",1862,0.46123141783029004,0.37379162191192267,1263,-0.08743979591836737,0.3519449327191174,0.3976849363494503
"(0.5, 0.6]",1557,0.5561139370584458,0.4617854849068722,1115,-0.0943284521515736,,
"(0.6, 0.7]",1518,0.6570726613965744,0.5520421607378129,1064,-0.10503050065876152,,
"(0.7, 0.8]",1515,0.7598656105610562,0.6290429042904291,1069,-0.1308227062706271,,
"(0.8, 0.9]",2371,0.8612382960776044,0.7262758329818642,1436,-0.13496246309574023,0.7079228759533864,0.7466479628888837
"(0.9, 1.0]",1279,0.9182211884284597,0.8021892103205629,851,-0.11603197810789678,0.777617430264489,0.8266671779141104
