bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1617,0.052058565244279535,0.059369202226345084,579,0.007310636982065549,,
"(0.1, 0.2]",1115,0.15413363228699553,0.13452914798206278,600,-0.01960448430493275,0.11355330092798759,0.15849584475274195
"(0.2, 0.3]",725,0.2536206896551724,0.24689655172413794,487,-0.006724137931034491,,
"(0.3, 0.4]",461,0.3534123644251627,0.3383947939262473,339,-0.015017570498915445,,
"(0.4, 0.5]",489,0.4637028629856851,0.40286298568507156,320,-0.06083987730061352,0.3540277988183609,0.4534498009730208
"(0.5, 0.6]",348,0.5540229885057472,0.5632183908045977,239,0.009195402298850519,,
"(0.6, 0.7]",321,0.658692523364486,0.5763239875389408,237,-0.08236853582554526,,
"(0.7, 0.8]",404,0.7576393564356435,0.6757425742574258,250,-0.08189678217821772,,
"(0.8, 0.9]",350,0.8569737142857143,0.7371428571428571,232,-0.11983085714285724,0.677804372147362,0.7939358108108109
"(0.9, 1.0]",323,0.9568368421052631,0.7894736842105263,187,-0.16736315789473677,0.7213849151866779,0.8494288843686434
