bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",212,0.031735849056603774,0.0330188679245283,48,0.0012830188679245277,,
"(0.1, 0.2]",44,0.15675454545454545,0.22727272727272727,32,0.07051818181818181,0.055482456140350876,0.42
"(0.2, 0.3]",27,0.26080740740740743,0.37037037037037035,18,0.10956296296296292,,
"(0.3, 0.4]",41,0.3514048780487805,0.5609756097560976,14,0.2095707317073171,,
"(0.4, 0.5]",59,0.47227457627118646,0.576271186440678,34,0.10399661016949152,0.34770186335403724,0.7377282041728763
"(0.5, 0.6]",100,0.5442589999999999,0.82,45,0.275741,,
"(0.6, 0.7]",79,0.6670746835443038,0.8860759493670886,30,0.21900126582278479,,
"(0.7, 0.8]",30,0.7528733333333334,0.8333333333333334,15,0.08045999999999998,,
"(0.8, 0.9]",53,0.8549377358490566,0.8490566037735849,25,-0.005881132075471696,0.7,0.9577464788732394
"(0.9, 1.0]",87,0.9501091954022988,0.8390804597701149,38,-0.11102873563218385,0.7068908045977012,0.9285993303571428
