bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1247,0.04930336808340016,0.06335204490777867,1051,0.014048676824378506,,
"(0.1, 0.2]",917,0.15141166848418758,0.15921483097055616,873,0.007803162486368587,0.13636245388326554,0.1831983453837597
"(0.2, 0.3]",738,0.2546059620596206,0.23577235772357724,726,-0.018833604336043364,,
"(0.3, 0.4]",755,0.35310927152317884,0.3695364238410596,741,0.016427152317880778,,
"(0.4, 0.5]",1000,0.45850799999999997,0.465,989,0.006492000000000053,0.43465126457700715,0.4954075486698501
"(0.5, 0.6]",954,0.5515481132075473,0.5052410901467506,941,-0.046307023060796704,,
"(0.6, 0.7]",582,0.6515637457044674,0.6219931271477663,577,-0.029570618556701067,,
"(0.7, 0.8]",385,0.7531475324675324,0.7064935064935065,383,-0.0466540259740259,,
"(0.8, 0.9]",304,0.8498157894736842,0.75,302,-0.09981578947368419,0.7028874366497733,0.801862340050085
"(0.9, 1.0]",233,0.9583429184549357,0.7296137339055794,231,-0.2287291845493563,0.673211797087311,0.7831354976556472
