bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",8612,0.047826225338455604,0.02275894101254064,6289,-0.025067284325914964,,
"(0.1, 0.2]",6447,0.14964081162217438,0.07228168140220258,5424,-0.0773591302199718,0.06545449667211448,0.07960530872570123
"(0.2, 0.3]",5017,0.24962569472702958,0.13573848913693443,4344,-0.11388720559009516,,
"(0.3, 0.4]",4540,0.3507622408420297,0.23854625550660793,3851,-0.11221598533542179,,
"(0.4, 0.5]",4602,0.45271905866368745,0.36962190352020863,3859,-0.08309715514347882,0.35557768699647874,0.3847472428486778
"(0.5, 0.6]",4479,0.5501827301856724,0.5824960928778745,3815,0.032313362692202086,,
"(0.6, 0.7]",4278,0.6507099767206781,0.7239364188873305,3556,0.07322644216665242,,
"(0.7, 0.8]",4433,0.7518528768901077,0.8136702007669749,3727,0.061817323876867225,,
"(0.8, 0.9]",5421,0.8533378400838179,0.8891348459693783,4447,0.03579700588556045,0.8790382701783107,0.8985536456595826
"(0.9, 1.0]",5943,0.9505647066057211,0.9597846205620058,4358,0.009219913956284631,0.9538445031363487,0.9655465372267099
