bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",3496,0.046197549379091984,0.002574370709382151,3199,-0.043623178669709835,,
"(0.1, 0.2]",2429,0.14820592826046067,0.012350761630300536,2393,-0.13585516663016012,0.008264377468500483,0.017334307155523424
"(0.2, 0.3]",1581,0.2467666649525683,0.0480708412397217,1567,-0.1986958237128466,,
"(0.3, 0.4]",1069,0.3464730343660872,0.13002806361085126,1060,-0.21644497075523592,,
"(0.4, 0.5]",807,0.44805902052357616,0.37670384138785623,804,-0.07135517913571993,0.34356224583497313,0.4124013504287351
"(0.5, 0.6]",828,0.5511894750248577,0.7004830917874396,826,0.1492936167625819,,
"(0.6, 0.7]",889,0.651864063578348,0.8931383577052868,877,0.2412742941269388,,
"(0.7, 0.8]",1145,0.7528752167887574,0.9510917030567686,1140,0.19821648626801125,,
"(0.8, 0.9]",1604,0.8521688103982041,0.9906483790523691,1594,0.138479568654165,0.9860688379861609,0.995003821369408
"(0.9, 1.0]",2186,0.9561604450833303,0.9972552607502287,2016,0.04109481566689843,0.994954128440367,0.9991170851607868
