bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",980,0.04301532118503407,0.03571428571428571,380,-0.007301035470748354,,
"(0.1, 0.2]",462,0.1508909760683976,0.1406926406926407,326,-0.0101983353757569,0.10283762554003255,0.1784079476861167
"(0.2, 0.3]",377,0.2486374780231313,0.20159151193633953,291,-0.04704596608679176,,
"(0.3, 0.4]",304,0.35202983324751225,0.34210526315789475,249,-0.009924570089617502,,
"(0.4, 0.5]",302,0.45489600767593436,0.3841059602649007,225,-0.07079004741103367,0.3159335031714672,0.445277933745087
"(0.5, 0.6]",308,0.5493612043566254,0.5876623376623377,247,0.038301133305712276,,
"(0.6, 0.7]",343,0.6508266367409176,0.6384839650145773,261,-0.012342671726340293,,
"(0.7, 0.8]",365,0.7515003846579997,0.7232876712328767,269,-0.028212713425122993,,
"(0.8, 0.9]",413,0.8549272773089254,0.8668280871670703,300,0.0119008098581449,0.8310386784850926,0.9021479713603818
"(0.9, 1.0]",1092,0.9679070686931516,0.9615384615384616,360,-0.006368607154690009,0.9473174024781392,0.9745621597096189
