bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",43,0.04195698102854686,0.0,6,-0.04195698102854686,,
"(0.1, 0.2]",17,0.16311399208587402,0.058823529411764705,9,-0.10429046267410931,0.0,0.13043478260869565
"(0.2, 0.3]",14,0.24131481948749392,0.07142857142857142,6,-0.1698862480589225,,
"(0.3, 0.4]",13,0.35068559506208125,0.23076923076923078,7,-0.11991636429285046,,
"(0.4, 0.5]",6,0.46100232096840243,0.16666666666666666,3,-0.2943356543017358,0.0,1.0
"(0.5, 0.6]",11,0.5440899022217256,0.45454545454545453,4,-0.08954444767627107,,
"(0.6, 0.7]",15,0.6441685827294882,0.3333333333333333,7,-0.31083524939615487,,
"(0.7, 0.8]",9,0.7475496620228453,0.6666666666666666,4,-0.08088299535617871,,
"(0.8, 0.9]",3,0.8328219377867426,0.6666666666666666,3,-0.166155271120076,0.0,1.0
"(0.9, 1.0]",7,0.9484730139507673,1.0,4,0.05152698604923267,1.0,1.0
