bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1179,0.05558327496758829,0.01441899915182358,957,-0.041164275815764706,,
"(0.1, 0.2]",1142,0.1498132354502139,0.04115586690017513,1007,-0.10865736855003878,0.029072973684414267,0.05212129342368772
"(0.2, 0.3]",976,0.25053452500113305,0.09118852459016394,874,-0.1593460004109691,,
"(0.3, 0.4]",994,0.35225531145846534,0.16700201207243462,865,-0.18525329938603072,,
"(0.4, 0.5]",1161,0.45119479443850274,0.3169681309216193,1003,-0.13422666351688345,0.28714140776633146,0.3485337549629636
"(0.5, 0.6]",1159,0.5493763543675216,0.6453839516824849,982,0.09600759731496322,,
"(0.6, 0.7]",1098,0.6489608225711043,0.8506375227686703,933,0.201676700197566,,
"(0.7, 0.8]",1118,0.7511161710880123,0.8971377459749553,965,0.146021574886943,,
"(0.8, 0.9]",1171,0.8513598584589479,0.9590093936806149,994,0.10764953522166698,0.946651273081094,0.9705882352941176
"(0.9, 1.0]",1224,0.9465699651963506,0.9869281045751634,965,0.04035813937881283,0.9801796139040553,0.992927211040179
