bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",608,0.04093382895106166,0.07730263157894737,494,0.036368802627885714,,
"(0.1, 0.2]",645,0.15910448215432263,0.14108527131782947,472,-0.01801921083649316,0.11299756744803184,0.17116483044821
"(0.2, 0.3]",952,0.2539156588952228,0.1953781512605042,686,-0.05853750763471857,,
"(0.3, 0.4]",1169,0.3548451974900998,0.29769033361847735,839,-0.05715486387162244,,
"(0.4, 0.5]",1329,0.45371954945866666,0.35289691497366443,934,-0.10082263448500223,0.32571206563207855,0.37914657760373754
"(0.5, 0.6]",1219,0.5508185833663978,0.4602132895816243,881,-0.0906052937847735,,
"(0.6, 0.7]",1184,0.6516448202630609,0.5827702702702703,844,-0.06887454999279063,,
"(0.7, 0.8]",1130,0.7521482815491157,0.6646017699115044,850,-0.08754651163761129,,
"(0.8, 0.9]",1713,0.8567810014629932,0.7694103911266783,1152,-0.08737061033631488,0.7471352751745991,0.7911856890411698
"(0.9, 1.0]",983,0.9251035575792211,0.8830111902339777,708,-0.042092367345243464,0.8599229685711771,0.9039786883563057
