bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",1247,0.05330565156580388,0.03127506014434643,475,-0.022030591421457447,,
"(0.1, 0.2]",1064,0.14741168017038375,0.1231203007518797,576,-0.024291379418504053,0.10304244656843223,0.14641803309679738
"(0.2, 0.3]",651,0.2477790263847121,0.2196620583717358,472,-0.028116968012976307,,
"(0.3, 0.4]",508,0.34770700061435905,0.2952755905511811,378,-0.052431410063177974,,
"(0.4, 0.5]",362,0.4518486018712664,0.39779005524861877,281,-0.05405854662264764,0.34374798126614986,0.4528418515446817
"(0.5, 0.6]",318,0.5499659359233975,0.5754716981132075,257,0.025505762189810044,,
"(0.6, 0.7]",300,0.6540884168561433,0.5866666666666667,217,-0.0674217501894766,,
"(0.7, 0.8]",359,0.7511075809483558,0.7214484679665738,237,-0.029659112981782032,,
"(0.8, 0.9]",292,0.8497563202037286,0.8493150684931506,207,-0.0004412517105779612,0.798576727404317,0.8963125530110262
"(0.9, 1.0]",220,0.9451850308480847,0.8681818181818182,121,-0.07700321266626653,0.7795601688951442,0.9322091158955566
