bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",205,0.03470175352270418,0.014634146341463415,43,-0.020067607181240767,,
"(0.1, 0.2]",40,0.1430432129632881,0.175,31,0.0319567870367119,0.025625,0.3697010869565216
"(0.2, 0.3]",29,0.25121530821377536,0.27586206896551724,21,0.02464676075174188,,
"(0.3, 0.4]",34,0.34952252450503446,0.6176470588235294,13,0.268124534318495,,
"(0.4, 0.5]",40,0.4644327279926306,0.725,19,0.2605672720073694,0.5184865900383141,0.8667105263157895
"(0.5, 0.6]",46,0.5491866944324668,0.717391304347826,32,0.16820460991535924,,
"(0.6, 0.7]",52,0.6491669578244045,0.7884615384615384,24,0.13929458063713396,,
"(0.7, 0.8]",69,0.7609613100005753,0.927536231884058,25,0.16657492188348266,,
"(0.8, 0.9]",56,0.8450597373608647,0.9285714285714286,29,0.0835116912105639,0.8234768907563025,1.0
"(0.9, 1.0]",79,0.9397774747778587,0.9746835443037974,33,0.03490606952593878,0.9285455486542443,1.0
