bin,n,mean_price,resolution_rate,n_events,deviation,rate_ci_lo,rate_ci_hi
"(-0.001, 0.1]",851,0.04964337077002596,0.05405405405405406,733,0.004410683284028098,,
"(0.1, 0.2]",646,0.14820542968461267,0.14551083591331268,608,-0.0026945937712999912,0.11837510620220901,0.17313765331757058
"(0.2, 0.3]",433,0.25241165373784474,0.23325635103926096,425,-0.019155302698583787,,
"(0.3, 0.4]",448,0.34982183044980014,0.3392857142857143,439,-0.01053611616408584,,
"(0.4, 0.5]",594,0.45828758207464665,0.45286195286195285,589,-0.005425629212693794,0.41202994256820863,0.49113041158423615
"(0.5, 0.6]",586,0.5498043469356082,0.5358361774744027,582,-0.013968169461205493,,
"(0.6, 0.7]",396,0.6480080295508394,0.5984848484848485,392,-0.04952318106599085,,
"(0.7, 0.8]",237,0.7483687902740374,0.7215189873417721,236,-0.026849802932265243,,
"(0.8, 0.9]",169,0.8486496291152537,0.7692307692307693,168,-0.07941885988448438,0.7023384353741496,0.832425512104283
"(0.9, 1.0]",152,0.9558153059231989,0.8092105263157895,151,-0.14660477960740936,0.7419354838709677,0.872524287792744
