scope,price_def,n_markets,n_events,base_rate,brier,brier_ci_lo,brier_ci_hi,brier_baseline,ece,ece_ci_lo,ece_ci_hi,reliability,resolution,uncertainty,brier_check
ALL,first_trade_price,63498,30603,0.4403288292544647,0.17525167637894104,0.1731975850625154,0.1773790207553388,0.24643935138185719,0.03264660146776275,0.028664342301007714,0.0368549136560944,0.0016503746534889075,0.07248500930107067,0.24643935138185719,0.1756047167342754
Crypto,first_trade_price,16386,14083,0.42054192603441964,0.1521475806713048,0.14911282494777317,0.1550273012632179,0.24368641448168035,0.00787998291224215,0.00633749017058357,0.01550919975818747,0.00011832161102827307,0.09096618701428409,0.24368641448168035,0.15283854907842453
Economics,first_trade_price,6256,995,0.49568414322250637,0.15130836527173913,0.14276718476212572,0.15953375957602006,0.24998137338027618,0.03872710997442455,0.02946245369714407,0.051006166680645615,0.001624217444641479,0.09980703403552707,0.24998137338027618,0.15179855678939058
Entertainment,first_trade_price,169,19,0.21893491124260356,0.12681135573964497,0.07020047054741824,0.18903948734866285,0.17100241588179685,0.12366508875739646,0.08140285364145658,0.1966757867039701,0.03200075423204878,0.07520412481468308,0.17100241588179685,0.12779904529916256
Financials,first_trade_price,11759,4487,0.5013181392975593,0.17515656309295005,0.170757093228399,0.17996760528157146,0.24999826250879223,0.01594332001020493,0.012143099063524213,0.026412218399815317,0.0003417272280960694,0.07446182242243983,0.24999826250879223,0.17587816731444847
Mentions,first_trade_price,14906,2918,0.4727626459143969,0.2141698723762243,0.20999530243867626,0.21803967220285494,0.24925812654241547,0.08987910908359052,0.08121896451617178,0.09870638584798463,0.009532319809861828,0.04481736205000398,0.24925812654241547,0.21397308430227333
Politics,first_trade_price,6153,1614,0.3161059645701284,0.15840067324557125,0.14979811599831314,0.16764893996314814,0.21618298373331712,0.038022883146432644,0.029590104400016953,0.054651774825013946,0.0034864031055949394,0.061821535022661626,0.21618298373331712,0.15784785181625044
Science and Technology,first_trade_price,732,121,0.51775956284153,0.14554475303278688,0.11898948467675387,0.17761932311056902,0.24968459792767775,0.10699644808743168,0.07169905192432469,0.17374987217087332,0.02137005763039354,0.1257259817218515,0.24968459792767775,0.14532867383621978
Sports,first_trade_price,7115,6352,0.3734364019676739,0.18685491293323964,0.18192041600231867,0.1916269659267563,0.2339816556531118,0.030984483485593833,0.024717422888886714,0.04194768775904902,0.0027295700429130526,0.049510610730185756,0.2339816556531118,0.1872006149658391
ALL,first_day_vwap,59002,29792,0.44490017287549577,0.10225979486455238,0.10062797890663344,0.1037637666562026,0.24696400905084975,0.08565755207495321,0.08279127814801422,0.08850299223430846,0.00916318327320056,0.15326157050279784,0.24696400905084975,0.10286562182125247
Crypto,first_day_vwap,16341,14055,0.4213328437672113,0.06521171557826876,0.0635606011519436,0.06682131992709894,0.24381147853024604,0.12431622785085356,0.12080038357806848,0.1279664995876976,0.020533560514035633,0.19907448303784064,0.24381147853024604,0.06527055600644102
Economics,first_day_vwap,4881,815,0.5035853308748207,0.0980111815308546,0.09048740293247873,0.10604832616278413,0.24998714540251807,0.02716290104014232,0.01920118603733462,0.03860734123607392,0.0012899150257790276,0.15241802000604251,0.24998714540251807,0.09885904042225457
Entertainment,first_day_vwap,85,17,0.25882352941176473,0.1329194732406722,0.06663269966704388,0.17937500642462165,0.1918339100346021,0.1531401766064079,0.08929541792890472,0.23415233183811798,0.04333355226031467,0.10381594760487495,0.1918339100346021,0.1313515146900418
Financials,first_day_vwap,11585,4432,0.5045317220543807,0.10338007729556567,0.10081294111899998,0.10602419939399124,0.24997946349522185,0.13125701021680955,0.12560227707418892,0.13656063360459178,0.02049714094757172,0.16616223334314068,0.24997946349522185,0.10431437109965289
Mentions,first_day_vwap,14195,2882,0.4734061289186333,0.1151395970107704,0.11128509677693445,0.11912531308213745,0.24929276602090764,0.06817595263399102,0.06235799767305656,0.07472102205814851,0.005966931577351118,0.1394914386414631,0.24929276602090764,0.11576825895679566
Politics,first_day_vwap,4606,1398,0.3258792878853669,0.14507817209370932,0.1364669796928696,0.15353706928822902,0.21968197761269306,0.02897036162799361,0.017910696061749182,0.046780998660437896,0.0010692489542302361,0.07445051617155804,0.21968197761269306,0.14630071039536524
Science and Technology,first_day_vwap,529,111,0.46502835538752363,0.1129605124927709,0.08460757935255403,0.14599909242393405,0.24877698407309864,0.07065645777317765,0.04395180453826357,0.1407326160650232,0.012123357409620564,0.14759775707166414,0.24877698407309864,0.11330258441105506
Sports,first_day_vwap,6767,6072,0.3793409191665435,0.13534682189447278,0.1315966859583878,0.13921084677739387,0.23544138621242539,0.06811085388995879,0.0608949746000318,0.07753058205094432,0.006075660253368246,0.10535797973731065,0.23544138621242539,0.136159066728483
