category,month,n_markets,n_series,median_volume,pct_resolved_yes
Crypto,2024-11,4123,14,29.0,0.3155469318457434
Crypto,2024-12,63110,13,0.0,0.26334970686103626
Crypto,2025-01,121586,13,0.0,0.27317289819551593
Crypto,2025-02,132324,11,0.0,0.2397826546960491
Crypto,2025-03,149761,9,0.0,0.25829822183345463
Crypto,2025-04,144651,15,0.0,0.27085882572536657
Crypto,2025-05,149485,13,0.0,0.2753854901829615
Crypto,2025-06,144648,11,0.0,0.26312842210054754
Crypto,2025-07,149468,14,0.0,0.27756442850643614
Crypto,2025-08,149488,17,0.0,0.264074708337793
Crypto,2025-09,144669,20,0.0,0.2617907084447947
Crypto,2025-10,278649,28,0.0,0.26148667319818125
Crypto,2025-11,270194,22,0.0,0.2531366351584417
Crypto,2025-12,310706,46,0.0,0.2545106949978436
Crypto,2026-01,449858,82,0.0,0.25977530687461375
Crypto,2026-02,481580,34,0.0,0.24792142530835998
Crypto,2026-03,644017,35,0.0,0.25885341536015355
Crypto,2026-04,870090,40,0.0,0.2667999862083233
Crypto,2026-05,909780,48,0.0,0.26430455714568357
Crypto,2026-06,845039,44,0.0,0.25244278666428416
Economics,2024-11,52,4,1642.5,0.40384615384615385
Economics,2024-12,101,11,7619.0,0.5643564356435643
Economics,2025-01,178,20,1085.0,0.47752808988764045
Economics,2025-02,187,19,714.0,0.5240641711229946
Economics,2025-03,209,22,200.0,0.5598086124401914
Economics,2025-04,216,24,377.5,0.47685185185185186
Economics,2025-05,202,23,26.5,0.5
Economics,2025-06,221,21,78.0,0.6018099547511312
Economics,2025-07,241,24,1010.0,0.5601659751037344
Economics,2025-08,216,22,561.5,0.6342592592592593
Economics,2025-09,247,24,659.0,0.5384615384615384
Economics,2025-10,184,18,1218.0,0.6086956521739131
Economics,2025-11,158,20,937.0,0.5189873417721519
Economics,2025-12,359,55,2502.0,0.35376044568245124
Economics,2026-01,444,59,6260.5,0.27927927927927926
Economics,2026-02,397,38,4214.0,0.3350125944584383
Economics,2026-03,882,53,1952.0,0.5147392290249433
Economics,2026-04,3417,102,50.0,0.5191688615744805
Economics,2026-05,4291,117,44.38,0.5015147984152878
Economics,2026-06,2928,100,343.985,0.4989754098360656
Elections,2026-04,3,1,1135.0,0.3333333333333333
Elections,2026-05,5,1,3220.67,0.8
Elections,2026-06,4,1,1817.475,0.25
Entertainment,2025-01,1,1,48569.0,1.0
Entertainment,2025-02,21,2,70791.0,0.42857142857142855
Entertainment,2025-06,1,1,20897.0,0.0
Entertainment,2025-07,2,2,19890.5,0.0
Entertainment,2025-08,1,1,19572.0,0.0
Entertainment,2025-09,56,3,4309.5,0.05357142857142857
Entertainment,2025-10,1,1,103004.0,0.0
Entertainment,2025-12,17,2,0.0,0.0
Entertainment,2026-01,2,2,33667.0,0.5
Entertainment,2026-02,97,3,241241.0,0.17525773195876287
Entertainment,2026-04,17,1,4517.34,0.47058823529411764
Entertainment,2026-05,1,1,3410.3,0.0
Financials,2024-11,34567,15,0.0,0.45737263864379324
Financials,2024-12,40275,10,0.0,0.4927622594661701
