ticker,life_minutes,first_trade_price,first_trade_minute,first_trade_frac,open_spread,open_mid,n_candles,first_day_vwap,first_day_volume,life10_vwap,life10_volume,category
KXBTC-26FEB0706-B61875,60.0,,,,0.95,0.475,5,,0.0,,0.0,Crypto
KXBTC-25JUN1314-B110125,60.0,,,,0.03,0.015,18,,0.0,,0.0,Crypto
KXBNBD-26MAY0507-T439.99,60.0,,,,0.010000000000000009,0.995,9,,0.0,,0.0,Crypto
KXBTC-25DEC1718-B90875,60.0,,,,0.2,0.1,4,,0.0,,0.0,Crypto
KXDOGED-25NOV1212-T0.1699999,60.0,0.45,22.0,0.36666666666666664,0.55,0.725,52,0.45,8.0,0.45,8.0,Crypto
KXBTCD-25DEC0516-T96249.99,60.0,,,,0.45,0.225,45,,0.0,,0.0,Crypto
KXDOGE-25NOV1013-B0.342,60.0,,,,0.05,0.025,58,,0.0,,0.0,Crypto
KXXRP-26APR2904-B0.9499500,60.0,,,,0.01,0.005,5,,0.0,,0.0,Crypto
KXBTC-26FEB2703-B69375,60.0,,,,0.2,0.1,5,,0.0,,0.0,Crypto
KXETH-26FEB1110-B1650,60.0,,,,,,0,,0.0,,0.0,Crypto
KXBTC-25NOV1310-B111875,60.0,,,,0.05,0.025,5,,0.0,,0.0,Crypto
KXETHD-25MAY0610-T2039.99,60.0,,,,0.06,0.03,9,,0.0,,0.0,Crypto
KXETHD-25SEP0720-T4659.99,60.0,,,,0.3,0.15,3,,0.0,,0.0,Crypto
KXBTC-25NOV2809-B94875,60.0,,,,0.05,0.025,11,,0.0,,0.0,Crypto
KXBTCD-26MAY0406-T70799.99,60.0,,,,0.010000000000000009,0.995,11,,0.0,,0.0,Crypto
KXHYPE-26APR2015-B47,60.0,,,,0.9,0.45,3,,0.0,,0.0,Crypto
KXXRP-26FEB1623-B1.3499500,60.0,,,,,,0,,0.0,,0.0,Crypto
KXETHD-26APR0819-T2719.99,60.0,,,,0.01,0.005,16,,0.0,,0.0,Crypto
KXXRPD-26JAN0510-T2.3199,60.0,,,,0.78,0.39,3,,0.0,,0.0,Crypto
KXDOGED-26APR2920-T0.2449999,60.0,,,,0.01,0.005,9,,0.0,,0.0,Crypto
KXDOGE-25JUL0617-B0.127,1500.0,,,,0.99,0.495,1,,0.0,,0.0,Crypto
KXETH-25FEB1222-B2730,60.0,0.77,27.0,0.45,0.46,0.28,36,0.9346960264900663,302.0,0.9346960264900663,302.0,Crypto
KXBNB-26MAY0509-B722,60.0,,,,0.01,0.005,6,,0.0,,0.0,Crypto
KXBTCD-25SEP1616-T105999.99,60.0,,,,0.040000000000000036,0.98,60,,0.0,,0.0,Crypto
KXSOLE-26APR2617-B74,1500.0,,,,0.99,0.495,12,,0.0,,0.0,Crypto
KXETH-25SEP1021-B3940,60.0,,,,0.79,0.395,2,,0.0,,0.0,Crypto
KXETHD-25DEC2620-T2319.99,60.0,,,,0.78,0.61,1,,0.0,,0.0,Crypto
KXXRPD-26APR1615-T1.9999,60.0,,,,0.01,0.005,5,,0.0,,0.0,Crypto
KXETHD-26JUN0309-T2269.99,60.0,,,,0.01,0.005,8,,0.0,,0.0,Crypto
KXDOGE-25OCT2911-B0.072,60.0,,,,0.05,0.025,38,,0.0,,0.0,Crypto
KXBTC-26MAR1321-B75125,60.0,,,,0.19,0.095,5,,0.0,,0.0,Crypto
KXDOGED-26JAN2404-T0.1799999,60.0,,,,,,0,,0.0,,0.0,Crypto
KXDOGED-26JUN2512-T0.0449999,60.0,,,,0.010000000000000009,0.995,5,,0.0,,0.0,Crypto
KXBNB-26JUN2702-B397,60.0,,,,0.01,0.005,7,,0.0,,0.0,Crypto
KXETH-26FEB2315-B2180,60.0,,,,0.01,0.005,7,,0.0,,0.0,Crypto
KXSOLE-26FEB1810-B76,60.0,,,,,,0,,0.0,,0.0,Crypto
KXBTC-26FEB0207-B87125,60.0,,,,0.05,0.025,1,,0.0,,0.0,Crypto
KXETH-26MAR2102-B2240,60.0,,,,0.19,0.095,10,,0.0,,0.0,Crypto
KXDOGE-26MAY0708-B0.072,60.0,,,,0.01,0.005,8,,0.0,,0.0,Crypto
KXBTC-25NOV0613-B108375,60.0,,,,0.05,0.025,9,,0.0,,0.0,Crypto
KXETHD-25JUN0715-T2469.99,60.0,,,,0.07999999999999996,0.96,34,,0.0,,0.0,Crypto
KXETH-26JAN2910-B3430,60.0,,,,0.04,0.02,7,,0.0,,0.0,Crypto
KXDOGE-26APR1721-B0.037,60.0,,,,0.01,0.005,10,,0.0,,0.0,Crypto
KXSOLD-26APR2405-T87.9999,60.0,,,,0.02,0.01,2,,0.0,,0.0,Crypto
KXBTCD-26MAR0111-T57499.99,60.0,,,,0.010000000000000009,0.995,9,,0.0,,0.0,Crypto
KXSOLD-26FEB2609-T80.9999,60.0,,,,,,0,,0.0,,0.0,Crypto
KXXRP-26MAY2521-B1.5699500,60.0,,,,0.01,0.005,7,,0.0,,0.0,Crypto
KXBTC-26JAN0700-B85125,60.0,,,,0.79,0.395,3,,0.0,,0.0,Crypto
KXSOLD-26JUN2908-T66.9999,60.0,,,,0.010000000000000009,0.995,25,,0.0,,0.0,Crypto
