category,n_sampled,pct_has_first_trade,pct_trade_within_10pct_life,pct_trade_within_25pct_life,median_first_trade_frac,median_open_spread,median_life_hours
Crypto,50,4.0,0.0,0.0,0.4083333333333333,0.05,1.0
Economics,50,70.0,34.0,48.0,0.10290394638868205,0.98,157.98333333333332
Elections,12,100.0,66.66666666666666,100.0,0.06098918572773229,0.07999999999999996,166.98333333333332
Entertainment,50,94.0,57.99999999999999,86.0,0.07242083487030496,0.5499999999999999,730.4527777777778
Financials,50,4.0,0.0,4.0,0.175,0.030000000000000027,1.0
Mentions,50,100.0,44.0,66.0,0.17452950558213715,0.9,50.14041666666667
Politics,50,86.0,68.0,82.0,0.01174055829228243,0.1,821.2106944444444
Science and Technology,50,96.0,56.00000000000001,70.0,0.04722329728047065,0.10000000000000003,653.9997222222222
Sports,50,76.0,14.000000000000002,22.0,0.6416380559494197,0.975,23.471805555555555
Transportation,4,100.0,100.0,100.0,0.011326898080931286,0.12000000000000001,832.8258333333334
World,35,51.42857142857142,14.285714285714285,17.142857142857142,0.5567282498710037,0.05,1492.29
