fold,model,price_def,n_train,n_test,auc,log_loss,brier,market_brier
0,price_only_logistic,first_trade_price,10034,10030,0.8048644332230735,0.5335191405547205,0.17868561200006186,0.1799636149890329
0,logistic_l2,first_trade_price,10034,10030,0.8062234675649788,0.5311843401386261,0.17777207367842132,0.1799636149890329
0,random_forest,first_trade_price,10034,10030,0.8043071232441126,0.5420546348266884,0.1811898168879622,0.1799636149890329
0,grad_boosting,first_trade_price,10034,10030,0.8059250750600465,0.5308421735030566,0.17854245592260468,0.1799636149890329
1,price_only_logistic,first_trade_price,20064,10030,0.7907926026593644,0.5495780800171536,0.1852150923348488,0.18833419990628114
1,logistic_l2,first_trade_price,20064,10030,0.7917391423493794,0.5465209121528329,0.18421015161834517,0.18833419990628114
1,random_forest,first_trade_price,20064,10030,0.7944785861380552,0.5470944727812013,0.1841757816951421,0.18833419990628114
1,grad_boosting,first_trade_price,20064,10030,0.7929190386826799,0.5409173796765545,0.1831742555992123,0.18833419990628114
2,price_only_logistic,first_trade_price,30094,10030,0.7874613889464688,0.5525762544478643,0.18711381480212122,0.1888607685463609
2,logistic_l2,first_trade_price,30094,10030,0.7874447658902899,0.5528556215356087,0.1871237941624242,0.1888607685463609
2,random_forest,first_trade_price,30094,10030,0.7922178862081708,0.551277752490897,0.18639094718716093,0.1888607685463609
2,grad_boosting,first_trade_price,30094,10030,0.7918818200844572,0.5450106433825226,0.18494205375397638,0.1888607685463609
3,price_only_logistic,first_trade_price,40124,10030,0.7965314293358667,0.5422216709697129,0.1829591266912521,0.18446221290229312
3,logistic_l2,first_trade_price,40124,10030,0.7974908114834054,0.5418372095385082,0.18249034765363992,0.18446221290229312
3,random_forest,first_trade_price,40124,10030,0.7997290820926468,0.5403802071390801,0.18189125724547278,0.18446221290229312
3,grad_boosting,first_trade_price,40124,10030,0.7994673502929437,0.5379283480407693,0.18150885201583655,0.18446221290229312
4,price_only_logistic,first_trade_price,50154,10030,0.7977701379100098,0.5389712567333858,0.18231656486926784,0.18320884047756728
4,logistic_l2,first_trade_price,50154,10030,0.7969673279948165,0.5395343422447252,0.1822514758794513,0.18320884047756728
4,random_forest,first_trade_price,50154,10030,0.8065633372874177,0.5345882560843683,0.17943669366710324,0.18320884047756728
4,grad_boosting,first_trade_price,50154,10030,0.80316829810375,0.5307904391579319,0.17927360183094063,0.18320884047756728
