cost_scenario,price_def,scope,n_signal_cells,n_trades,gross_edge,gross_ci_lo,gross_ci_hi,net_edge,net_ci_lo,net_ci_hi,hit_rate
fees_only (lower bound),first_trade_price,ALL,24,7865,0.05444010171646536,0.04256475350464536,0.06527412905795635,0.04413593918011442,0.03230134853527309,0.05494087071524423,0.35842339478703117
fees_only (lower bound),first_trade_price,Crypto,24,282,0.002805319148936174,-0.04761064511244037,0.05275495609000114,-0.010418710518794328,-0.06080754682246329,0.03957254760013728,0.74822695035461
fees_only (lower bound),first_trade_price,Economics,24,1914,0.03620219435736676,0.017469526666929365,0.05746603356491168,0.03050616772027167,0.011751342480034614,0.051953687249384956,0.16300940438871472
fees_only (lower bound),first_trade_price,Financials,24,244,0.047489754098360655,0.0051310511968085054,0.09384996003936062,0.04443099739139343,0.002049277810782999,0.0906179676700197,0.0942622950819672
fees_only (lower bound),first_trade_price,Mentions,24,3747,0.08177814251401122,0.0637583184773277,0.09900691235548172,0.06933393863498799,0.051297688645564624,0.08675073899904949,0.44568988524152653
fees_only (lower bound),first_trade_price,Politics,24,178,0.1412308988764045,0.05677407432053796,0.22608315916066582,0.13510182030280898,0.05060621852991422,0.21968915401179656,0.24157303370786518
fees_only (lower bound),first_trade_price,Sports,24,1499,0.00995330220146764,-0.011090574999999997,0.031463074549483834,-0.002017178413208803,-0.023134141636488328,0.019538633651571245,0.37291527685123416
fees+open_spread (upper bound),first_trade_price,ALL,24,7865,-0.2896909218054673,-0.3042843750266447,-0.27640121326663813,-0.30049940939618563,-0.314989866291459,-0.28716424807471086,0.24780673871582962
fees+open_spread (upper bound),first_trade_price,Crypto,24,282,-0.13185780141843972,-0.18421235657294832,-0.0784715354037978,-0.14057693044787234,-0.192907641096643,-0.08722470308240307,0.5957446808510638
fees+open_spread (upper bound),first_trade_price,Economics,24,1914,-0.3249341692789969,-0.3495635309019618,-0.29733840368975795,-0.3381744366888192,-0.3630611361194663,-0.3104420886468515,0.12173458725182863
fees+open_spread (upper bound),first_trade_price,Financials,24,244,-0.023063524590163927,-0.07427510408057851,0.027886635303643707,-0.02923358506762295,-0.08087502621147728,0.022103759388106315,0.0942622950819672
fees+open_spread (upper bound),first_trade_price,Mentions,24,3747,-0.30449621030157453,-0.323589897731821,-0.28507020486747997,-0.31455933128751,-0.3335566808902346,-0.29523776791065315,0.28796370429677076
fees+open_spread (upper bound),first_trade_price,Politics,24,178,0.015469662921348317,-0.08404889705882353,0.11512725080866712,0.005177528715730343,-0.0945660532592794,0.10528631087329764,0.24157303370786518
fees+open_spread (upper bound),first_trade_price,Sports,24,1499,-0.3171947965310207,-0.34071964375255626,-0.2947185580488002,-0.3279775761927285,-0.3514894783801795,-0.30556629165727484,0.2688458972648432
