ticker,category,bin,direction,p,y,gross_pnl,fee,net_pnl
KXTRUMPACT-26APR19-T1,Politics,"(0.9, 1.0]",-1,0.99,1.0,-0.04999999999999999,0.0033249999999999994,-0.05332499999999999
KXATPCHALLENGERMATCH-26APR26BRUROS-ROS,Sports,"(0.8, 0.9]",-1,0.85,0.0,0.44500000000000006,0.017288250000000005,0.42771175000000006
KXEPLMENTION-26APR25ARSNEW-SLID,Mentions,"(0.2, 0.3]",-1,0.235,0.0,-0.21500000000000008,0.0006930000000000006,-0.21569300000000008
KXEPLMENTION-26APR25ARSNEW-WORL,Mentions,"(0.8, 0.9]",-1,0.89,0.0,0.43999999999999995,0.017248,0.42275199999999996
KXKHANNAMENTION-26APR26-OIL,Mentions,"(0.8, 0.9]",-1,0.83,1.0,-0.6200000000000001,0.016492,-0.6364920000000001
KXKHANNAMENTION-26APR26-EPST,Mentions,"(0.5, 0.6]",-1,0.5283,1.0,-0.9217,0.005051837700000003,-0.9267518376999999
KXKHANNAMENTION-26APR26-NQE,Mentions,"(-0.001, 0.1]",1,0.01,0.0,-0.46,0.017388000000000004,-0.47738800000000003
KXATHLETEMENTION-26APR25-RUDY,Mentions,"(0.4, 0.5]",-1,0.5,1.0,-0.95,0.0033250000000000033,-0.953325
KXATHLETEMENTION-26APR25-TECH,Mentions,"(0.2, 0.3]",-1,0.22,0.0,-0.22999999999999998,0.0006930000000000006,-0.23069299999999998
KXATHLETEMENTION-26APR25-CHAM,Mentions,"(0.2, 0.3]",-1,0.23,0.0,-0.21999999999999997,0.0006930000000000006,-0.22069299999999997
KXFOXNEWSMENTION-26APR26-AFFO,Mentions,"(0.5, 0.6]",-1,0.6,1.0,-0.8500000000000001,0.008924999999999997,-0.858925
KXFOXNEWSMENTION-26APR26-NQE,Mentions,"(-0.001, 0.1]",1,0.0533,0.0,-0.5033,0.0174992377,-0.5207992376999999
KXFOXNEWSMENTION-26APR26-CORR,Mentions,"(0.2, 0.3]",-1,0.3,0.0,-0.1499999999999999,0.0006930000000000006,-0.1506929999999999
KXFOXNEWSMENTION-26APR26-FRAU,Mentions,"(0.3, 0.4]",-1,0.33,0.0,-0.11999999999999988,0.0006930000000000006,-0.12069299999999988
KXFOXNEWSMENTION-26APR26-REDI,Mentions,"(0.5, 0.6]",-1,0.6,0.0,0.1499999999999999,0.008924999999999997,0.14107499999999992
KXFOXNEWSMENTION-26APR26-OIL,Mentions,"(0.6, 0.7]",-1,0.69,0.0,0.24,0.012768,0.227232
KXNBAMENTION-26APR25NYKATL-WING,Mentions,"(0.3, 0.4]",-1,0.37,0.0,-0.08000000000000007,0.0006930000000000006,-0.08069300000000007
KXFACUP-26-CRY,Sports,"(0.8, 0.9]",-1,0.81,0.0,0.405,0.01686825,0.38813175
KXMLBMENTION-26APR25CLETOR-DOUB,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.5349999999999999,0.017414250000000003,-0.5524142499999999
KXMLBMENTION-26APR25CLETOR-ROGE,Mentions,"(0.9, 1.0]",-1,0.91,1.0,-0.5349999999999999,0.017414250000000003,-0.5524142499999999
KXFOXNEWSMENTION-26APR26B-FRAU,Mentions,"(0.5, 0.6]",-1,0.6,1.0,-0.8500000000000001,0.008924999999999997,-0.858925
KXATPMATCH-26APR26NORTIR-NOR,Sports,"(0.5, 0.6]",-1,0.55,1.0,-0.84,0.009408000000000003,-0.8494079999999999
KXMLBHR-26APR261340COLNYMG1-NYMJSOTO22-2,Sports,"(0.9, 1.0]",-1,0.99,0.0,0.5,0.0175,0.4825
KXBESSENTMTPMENTION-26APR26-NQE,Mentions,"(0.2, 0.3]",-1,0.28,1.0,-1.17,0.0006930000000000006,-1.170693
KXBESSENTMTPMENTION-26APR26-ECON,Mentions,"(0.5, 0.6]",-1,0.5556,0.0,0.10559999999999992,0.0066114047999999955,0.09898859519999992
KXBESSENTMTPMENTION-26APR26-TARI,Mentions,"(0.5, 0.6]",-1,0.53,0.0,0.08000000000000007,0.005152000000000005,0.07484800000000007
KXBESSENTMTPMENTION-26APR26-CHIN,Mentions,"(0.6, 0.7]",-1,0.61,0.0,0.15999999999999992,0.009407999999999998,0.15059199999999992
KXBESSENTMTPMENTION-26APR26-KEVI,Mentions,"(0.6, 0.7]",-1,0.63,0.0,0.17999999999999994,0.010331999999999997,0.16966799999999993
